match_id,puuid,gamer_name,tag_line,partner_group_id,companion,gold_left,placement,win
NA1_5210875842,BmxH35gKz4q9GvYaicIYYeImjdLbQhH23szcW3O_8dC9oj5wh-Lwu--N8khJmIVVUqFyY3eWOy-zcA,Acrophös,8480,,PetTFTAvatar,18,8,False
NA1_5210875842,EqMSwm9K9CnsjOkp95ndg_aBI09-fbUR81FmvdOiqJQnT5S7nkFlIIAzc_cZxiqBE_ldUo8M2USNLg,Artreyu,NA1,,PetChibiAkali,4,3,True
NA1_5210875842,hFItmypQ4c024XnN1qWilCa8ET7HB9DJveeM4VOUBpyVgTFmfu19fO-mfSeEZNpbOn0Xrk_k_Ta-rw,swagggyboyk,8008,,PetMiner,3,6,False
NA1_5191715814,qtOicN2UP7tEWexKn7fBAIE_tTHgdXtA5BUUbbVSikNoBBDMTgnjEM3x70yhGVzrMCMrqTmC3jYdsg,Atlas,TagMe,,PetPenguKnight,3,4,True
NA1_5191715814,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,35,8,False
NA1_5191715814,cnLWhxPmYj_UQ0ofXz1ZXWFZRdDbmgtiPCn5BkllFzoBPQfUbMnkGgLQDbzW8MKxBQUmmxWsje6OjQ,AsH失樂,ASH,,PetChibiLeeSin,9,6,False
NA1_5191715814,jwGWP0aoQfZ0bTUAZB1xTGWjMbGjr2v3GzO8soI6whbhqQYylj1vRlcIAGq5v67qaUFt9kXrlda63Q,HauntedBurgeerr,5858,,PetPenguKnight,2,7,False
NA1_5191715814,7_EoXQmolg4o1PpK76PbBWAiVdQnwd_hY9ThCOMa2xCdpkal2VqSWZAypQH4AuXs-9rdcepxoWByBw,curse8,9112,,PetCreepyCat,2,3,True
NA1_5191715814,Hy4ZJHenzdHocwk3wVrsyk97nvEvJpQp-XaGuJ7JQyfh1QponG1cZob6q-uGSX2ajcVJ2eXOXGWF0g,Shinenkan,NA1,,PetTFTAvatar,1,1,True
NA1_5191715814,kioNDyMKxDJnKWtXdkzTG8ri8gQQizQwsXdgA8BKS1wazdqAWHGUh6vKCWTS1pXhl3anJIPj86ZvrA,J Young Kim,NA1,,PetChibiEzreal,2,2,True
NA1_5191715814,yqGuvhw5e8JQsdJn1po-1MWb-1EzbELZ3jJJil9SMzbAURE3oYHfU9ABAIXHfwcEZ8ZH7fpmBx8YPQ,Zaorsh,2580,,PetGhosty,32,5,False
NA1_5191481811,DqNKF8vPZ9JKsUhKOQ39ijH2p3w660wHowxqnBPnihBgeHyj4Ws7LS9xlHm2lY9claiP_ztgZcDjDQ,PPG Rex,PPG,1,PetScuttleCrab,0,2,True
NA1_5191481811,YYZmpLUGntxc3Bj6CL5swa5-uwQwi502U3iYJI-WQCNncqXGwGgCEBtZqcSGsGJh6lwsQbXah5bWCw,PPG Mirotix,NA1,1,PetChibiMissFortune,4,1,True
NA1_5191481811,kK7HOHu6tMeiBDSsRXlSw0ig_TzKdO0rLSw8CVvIJJLJJg9i6jHjZkQPjRwZtI301tLP0M8n7KR4EA,AlphaKilla,4590,2,PetChibiAatrox,5,4,True
NA1_5191481811,Tj7yhHn1cTHVvjugAF9kJ7FsrMKVXzezq8lwe4jUt38_Bijlia7M5-pWQymAKgGgnGLLfwKBMSXa8w,JellyInMyBelly,cotto,2,PetChibiGwen,29,3,True
NA1_5191481811,-SNQaK6bsbzO_Y8UG8XreSnllYdrtux5uHnBVbF8GXjbKxvV35JKxrhd3aC8C7J1H67xCPkOEvEICA,Tony,NA12,3,PetBallDragon,41,7,False
NA1_5191481811,SmvS11vqH2C5prz-4ZHWSHHfaEk1Zh-8JNvLySHaoIis24-LvZJQmDXk26Ve0Db8VHQ2YauPwo3lUg,FreakB,6969,3,PetPoro,36,8,False
NA1_5191481811,bokoi6dat-Npa5p01qMnj6I2DfAFY-F6zH6uBFrJuex8Zkd6-Bg4JO2ELXl9TlUh02qZZbTEtKndGA,TheKiller0reo,NA1,4,PetDowsie,4,6,False
NA1_5191481811,GwqbbvHyxzoPuAFIEv8bphuE_AvjNGyrFAPZ1aZP0H3TRH7jMNyXE78M7CwuYmIEdgVyOCGFTWLZhA,Ramulousidy,112,4,PetTFTAvatar,7,5,False
NA1_5201001653,chZG-Qa9NphCPzTsrga3j7eoU0aYLiiLKH3ra-w2V5hh5sS5UsVBmkDbxRTcnJfB7txlHBaL0KeLUw,EESH stressss,NA1,,PetChibiAshe,4,7,False
NA1_5201001653,OAzQYymAjuC_cnMpKDLPsQFugBLi5TbS_WiAiyqibMKEWbUW92ce-b5cCPPLR2WEgOxAf-omxv4pQA,YokuTamara,Fwop,,PetFenroar,2,1,True
NA1_5201001653,S7rhdOh6bYIbWVtU79kzstuPb56ztNDMagXsqm4pMsVaU3kHO33Dd-TaRGC1tlLo3sq6OD8WLNOq2Q,LionsMeowMeow,Lions,,PetChoncc,3,8,False
NA1_5201001653,3WITymWoz6DRX_MmNrPxQrXN9UsX1GsFVNmB1NgrkxQnS9j76pZbFAjB2FXqtdAJY5dM9Igs1_QGxw,LilRatQueen,Rati3,,PetPiximander,3,2,True
NA1_5201001653,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,3,3,True
NA1_5201001653,Ig6vJpma7p5reV-9OynFXOvb9eSOegx6lCCrlkEh6BpC86T5zj5D-yL_4TA7kBIFwFzeHmn4LgD8pg,c0pyR19ht,NA1,,PetChibiEkko,2,4,True
NA1_5201001653,45Qz--bhuLvASrztV9hIxuMYDtiPc_DaSQmRXPyQ9QBLyLF0sjHmi_owd5Zg0_aYMsXPl_J2p8wB1g,Raven66t,2828,,PetChibiIrelia,10,5,False
NA1_5201001653,FVAWlmbTDYpnK8L2lEmyedGy6FhZPpRbdvtgHuXAfoC5b7Z982t80L31-zLEGBsb0mvJ0IirvOjF-w,Cheeza,999,,PetDuckbill,4,6,False
NA1_5191717331,MdnNFxzmVIcb3UjD2GrrTAnV3_HO470wbnep70UHk7mimIx9XLlTpeZbgKokmpBw-HEuo9rnEpiMaw,shroomism,NA1,,PetChibiKatarina,1,1,True
NA1_5191717331,nxLGpH_wit33A87pXKwnDNe7KUHKtiDFC4Ab4GdvPROYrFyQIVaaCtuDqhup-Wki9ueLlR5uwtGgGw,utson,1234,,PetBat,2,2,True
NA1_5191717331,lH_XHRonQZi_bsIpUHxbEHGAtY4uq8EZVuGio_hMyZ-b1GdcapLQYZ_DLpI5f1hO92hHa-l9xEv1VQ,jambread,venom,,PetChibiCaitlyn,10,4,True
NA1_5191717331,VktDtYr9mMs-0BIvzaxR0fnDQw33Dw7YkGOLMkdPseQgePd3Kndtuha-Yxm_PYtpaGP8Cehhlz2n3g,Tarobunny,Boba,,PetSeaAngel,2,7,False
NA1_5191717331,xrt0ruLQ3uacVBgKuHrTPIoT2XMJAzlUeQtqek--XUme3qaevldOUGVMgYc0FvT1J2pVJmeFvqmK7Q,Taylorlen,1993,,PetChibiJinx,7,3,True
NA1_5191717331,I_AEkR617NeY9EDT7dvc0d334ez9ldTce6o49LjRg0IZo4uLN_l-OYg0asuTlEiBfObxE1auXusrTw,GRIM,725,,PetChibiYasuo,8,8,False
NA1_5191717331,RrqimiNQKlc7P98XJtKcY37hYFX3PRHhs5pbew7ZClRwiLnOmQjRORlGBdZ7-PEk0yAQmSArjjHM9Q,1TacOcaT1,NA1,,PetChibiJinx,2,6,False
NA1_5191717331,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,35,5,False
NA1_5192981326,sbFV9UiKOVrgTF5vyTPjXr2E9XUR0DPriek4yxF63NsRIWYyFiXuMfkOiai8rW37IFrhituTkZTjRg,MoMo Kills,NA1,4,PetFenroar,14,6,False
NA1_5192981326,DqNKF8vPZ9JKsUhKOQ39ijH2p3w660wHowxqnBPnihBgeHyj4Ws7LS9xlHm2lY9claiP_ztgZcDjDQ,PPG Rex,PPG,1,PetScuttleCrab,5,4,True
NA1_5192981326,YYZmpLUGntxc3Bj6CL5swa5-uwQwi502U3iYJI-WQCNncqXGwGgCEBtZqcSGsGJh6lwsQbXah5bWCw,PPG Mirotix,NA1,1,PetChibiMissFortune,4,3,True
NA1_5192981326,8wS2lKrHkt6pMuV0ePMxmimRGvbkAmjp9JdpElWpc3wCXj9kl6koJCxQQeGq4y4jkZajZSWQmwyTzw,XIAOTUTU,5594,2,PetChibiGwen,2,2,True
NA1_5192981326,wsK34HVucpUx_sZb0vbtR2MC80bdC24MotQ-GC0bwrCvJREyceLodF9wcXmza0eBUhrw6xOQzWjB0Q,XIAOHU,XUG6,2,PetChibiSona,1,1,True
NA1_5192981326,81Lzf0DG6mwyJATJp4PpuDt0-H0dpsk7O7NcyVDThTOw9Eq3jF44mbXmsxah7bLkIJoqVDbNKklWgg,Yuzuru Hany,NA1,3,PetGloop,4,8,False
NA1_5192981326,RuxIt8qnLN_K_acenZ1IyRNnvahlS_QWdthnNXkMroo4bNKCb5jH0eXVeRSeqD0LmLhjDY43OFo86w,angrybird1998,NA1,3,PetGloop,5,7,False
NA1_5192981326,IjafJ9PoV7hGfjfljJAC0jkn9zulz_XvzuDVtNzF5Oi2C4Ram2oXnfoo6eyNfxv8AVrNFq3jqUSDPQ,McBloodlust,NA1,4,PetChibiEkko,0,5,False
NA1_5215009686,ni6NDlECUaOV-kItaxqsqCxcSuGbFr0ORjP8bWvXZI0qWfBzLztIWnh6TI98R5eY451LBfMsekX-Ow,tanked19,3705,1,PetStyleTwoWarwick,53,5,False
NA1_5215009686,T38LhL_iX0N7sSUD2KbdCnq1_MXMhk9H8Ke4Wlz8z588Yq72Cd59qPmKzVbLjZqM6oX9Ft9DrHh24g,MacDufffff,NA1,1,PetStyleTwoJinx,1,6,False
NA1_5215009686,B82KfyVgNMEe5QuiEMzS0fp5nAPWIKEgWv0oXyBynQbyLTGR5uHH2WvOsc1x0xCU65T8jVbmQ6HgRg,r0uシl,6798,2,PetChibiSett,1,2,True
NA1_5215009686,eMBljOXt35ic-_lahHVAiYViNZwGXE1SEZQmgWevfrf1uQRkKdt63HpMcQYTwSSnqYfB439D7OpyPw,Frosted,1860,2,PetChibiAhri,0,1,True
NA1_5215009686,EdK_EpyIKSAmsip48XUB0kTW0JH0f8Y9Qn2enqNiPANKIrtaL1U_ZUA9v2narTpcsGj5d3gWoitspg,saber1542,NA1,3,PetChibiVi,3,3,True
NA1_5215009686,IJUB62Ef7WAsLkYDiF8RGdqArB2Cn1pvATHehvDKhG1vWVfANHB004hbz26bmk4LTp1YxGjXUd6bmQ,KujoJotaro,80085,3,PetDSSquid,19,4,True
NA1_5215009686,DqNKF8vPZ9JKsUhKOQ39ijH2p3w660wHowxqnBPnihBgeHyj4Ws7LS9xlHm2lY9claiP_ztgZcDjDQ,PPG Rex,PPG,4,PetScuttleCrab,19,8,False
NA1_5215009686,YYZmpLUGntxc3Bj6CL5swa5-uwQwi502U3iYJI-WQCNncqXGwGgCEBtZqcSGsGJh6lwsQbXah5bWCw,PPG Mirotix,NA1,4,PetChibiMissFortune,2,7,False
NA1_5175444330,4GqoUzTRTfs3_6itY4N6vhA7b2sKfXiIcT3VtqWr0MIY0h_JbrhcmArqT4x32atvazC9_hFZk6cmKg,SobVEEr,NA1,,PetChibiJinx,3,6,False
NA1_5175444330,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,2,3,True
NA1_5175444330,OHfaHuk14t-u4fQFPNMrnjWZccswiZvHX2X2Px7xRxffwl5VQbHU6Bn8Vua5hjL213PzWlIvecMURg,DemonTrigger,TGS,,PetPenguKnight,3,2,True
NA1_5175444330,lEvT6ry_cme7FhwcuEbYECbTiytzKVOPWMT1pw5iic8ae2-Z7Q87D1OXnl_bWNEgojE0b9E_CooBhA,Devil,TGS,,PetChibiYone,1,1,True
NA1_5175444330,Bk26lIH1oITWpWEft84QBJ2oB3GTDUAFNTEyfx379-NGZhwUd9_h_qHU6Ox6gcRR5Zt02Ln0w8RooQ,rice,7363,,PetGrumpyLion,5,5,False
NA1_5175444330,42eYIxt2Am20Mssg8Z5ByMwJYG9UTHBblb0sM32VdgPMmHNIjT49nRmjOVDx959UVaqn0PXIXvtt7g,AxelBlueberry,NA1,,PetChibiEkko,2,4,True
NA1_5175444330,7ITY37FRVWZGXUGLxJNXFaOUHtQlspzWIIyUNrReji1KVTCzXSCMsq-tj6WetbU7n_Ci4snXZbgF1g,chistode,NA1,,PetTFTAvatar,28,7,False
NA1_5175444330,Qgxb3LWxYw7R7WbE7oX-FGgsfUaNw6BXSNVx6nmNmpsv5UgHeNRICihC4RtmHuGaTiAtIf-kLAPxiA,floncra,NA1,,PetPiximander,6,8,False
NA1_5195651334,ZSPYKaaolyqxwZw7Ji4scAkyu1xhssWKJmIuQhrI-kRdVQgaEIs8bE8SQ5qO-cSuDlk6rAVyiLfgtw,Classiko,NA1,,PetChibiIrelia,1,1,True
NA1_5195651334,Z9g9HjGlcY834xDnj6U0lW2bV2YbnWs3uDPtm8epazNIWanwkseuLrylPAu46CBTKUXLwTreADho6A,Esmeros,888,,PetSGPig,6,4,True
NA1_5195651334,nE3sZ0SkQfP5se5CzEYEqHIfou1iAf8LCzrI_hLtj7nkqs3rBKtrQ4IvMJbkBrFfGavxT_QYGDDCeg,wink emoji,1234,,PetAoShin,15,5,False
NA1_5195651334,WHfv25a8LMgIdotAbdP9540CzExNSsbUaDNAx9cYupjmhB93on-cb4-1Kj9jqZQolfOz7Abvd-5pgA,nvrmnd,reset,,PetAoShin,2,6,False
NA1_5195651334,zaiXe30FMqJ-nfzJQ_UsWns2OKYP4nm16IVAWVeBpMUaVRgginEIyP7Kk8Po5ilglU44SdVxhJ16AA,Unikornrider69,NA1,,PetPiximander,19,2,True
NA1_5195651334,Dohc9u1nwTkDrL9yy2O1z8egJvr81x6sbwo7_cHFtuCfTIYgduQEl6HWYON4euhPYTIFbGZLRu-uLQ,Jesus,manke,,PetStyleTwoJinx,52,8,False
NA1_5195651334,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,2,7,False
NA1_5195651334,ATivsFzRV7JQhi9hzeO2TpJMUHOmLXrZTuSSXX0nyvDFyr814qurxiVyQaBK9ET8httajchWHnVFLw,TexanGunslinger,NA1,,PetChibiMissFortune,6,3,True
NA1_5175422963,8PSgUf18hrCANJdpleELoGiz8vSM2EYtso9AxRftr0SO8wxjZEgt1_HjNgG4eCPjVhurOyXSvmuSaw,SinfulHollow,NA1,,PetSGCat,0,1,True
NA1_5175422963,0DmOeMgQR5MZIFFJ6dxxtboVzGnhuXXbHfFO3tv0Jsf9j8jaNCMEm3QAArc3ADuA8SWQgwfR__7GHw,CallMeOneechan,1111,,PetBaron,3,8,False
NA1_5175422963,0F-OTlGOsp37wWrdUK4c6CQCOnq3Q_YYXOypf8KraivEmKogYIBfh6AeubKNbLFHnrY9kOkVuwyLaQ,Lilo520,NA1,,PetGhosty,2,5,False
NA1_5175422963,f32YrWdnpKxths-vbvHYshIskUepY4ia0o14HeYp2YEbWA8op1HO3L8VWJA6kzo6y7QUhtu3i0Zabw,MullJy,NA1,,PetBellswayer,11,4,True
NA1_5175422963,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,3,3,True
NA1_5175422963,ADOScHjghXZSgY6lYBvGMw2eCppvZMB5JDX7HTiKrqWMt22nT3smmWP7QxlBxKR53ytTQdVWOgaOXw,anmasaro,NA1,,PetChibiCaitlyn,4,7,False
NA1_5175422963,qk85yp2Ywq_H8u5WYy33PZzlY4XkDz23Ojr_-Gfddae0_zP6UHh9DQta1rs14mHt4c33dkgKx5JmKA,keokan,NA1,,PetGloop,3,2,True
NA1_5175422963,h9CdAXGpygYubz0GySWwjNykiWScPCgl1xeeesdaqBYWa-t9C7znsLxTcsT34VIKLk8A5vYbnDR2dQ,Novain,NA1,,PetBaron,4,6,False
NA1_5180623150,oiWaK2NRXi6RPRM7EVf02dPIuN8O94tq2jLTYudqmcNBMBuIYrtEImE4dj5bDJu9PcnivbIP7F6QpA,cuhhzz,NA1,,PetChibiJinx,3,2,True
NA1_5180623150,FamO3Xw67-5Ymq_Q0akSpsHGG8F338moHieJbgI-ilmXukmzK7IxvWQy8B4JdAEbWJKAa2ZQYsLzgQ,Sulflower,4487,,PetChibiCaitlyn,3,5,False
NA1_5180623150,YJ--Ypxcqq1UqDVKSEpa-9B1qsKtecqgNbxpkVUY7fDp3_SVDQ27hPM7qRJmWXVNo_9f1tsMqy-ztA,Störybook,NA1,,PetDowsie,20,3,True
NA1_5180623150,uFgu9Oo-eKsfp61acshkF0OA33E0TAXag1HExksy0lWspNgn3iy94xA6s6DTacPAJ97qwAdcWD6Nvw,Pppizzarolls,SIVIR,,PetSennaBunny,3,6,False
NA1_5180623150,EFl8iMv5TFFsQZduZ_hnfHz98ks6QQoWcgxclX-Q_TEMGz7U0e8Q6e63ivVhves59GWI6jkPusTb5Q,Briar Footjob,feets,,PetCreepyCat,1,1,True
NA1_5180623150,mLHXsCzAaymMfe7cO8qE7oPGH2_bcCUqLG4aQVRit6IYBvO8oRAv5BlvsMF4X3A1uHfzJlqU9A6IbA,FORBEEAST,NA1,,PetChoncc,3,7,False
NA1_5180623150,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,2,8,False
NA1_5180623150,28NPN_SOd_0CHtpsxaPrSWpjPskwEvAc1vVw_ATIjYrgeQ8jJtfa1hcRcsMv-TttETc_2Ccix6Ck0Q,Bivinz,NA1,,PetFairy,3,4,True
NA1_5211518566,RTp_E3esC7GnGRAMSBMUNZByP4OF_ySWH_mwoUQpxCK15ltu78iDDzsJaHGjh8LIjdCzOr-pS0IH0g,Llucife,NA1,,PetSpiritFox,17,3,True
NA1_5211518566,CS6O9i9VBExRAI1_4yJTInbh680CZtNXMzj3phZtnrcOKchzxAwXqrniZUpdjaZea_4ifWwlKywMkQ,HeIplmInPain,NA1,,PetPoro,3,5,False
NA1_5211518566,bX-Tj1tCT1SgbWtpo3V5oWUejx2302vgo11ozzrCUhkqJo9GWAVz0ciH6lr90HhHacHU703d9-26nQ,Purrdered,9294,,PetTFTAvatar,21,6,False
NA1_5211518566,Zamh6cdfxqaaDGQcGMByZxHakJmLfpZOBwCdz7jkkWfEyzIPbv6-4B7per1cazlc0TiVYDbytC_Yow,StuckStepLaner,NA1,,PetTFTAvatar,0,1,True
NA1_5211518566,JF7rYiqVs_b4lZ5zg_YyFJ2Smi71I760Ilvv4GxbUbzOxM-fRX-9CVujSz3J7W1qt8cddNV1FOB7IA,Pecsado,NA1,,PetDSWhale,2,2,True
NA1_5211518566,oTJn68G2uf0L11Eji-OAmbJo8oIaOaXOc8ACemIDCSiJPNh5yWhVkUeMDCNYMnkIFnVa7v_XqvY01g,EonVictory,here,,PetPiximander,2,4,True
NA1_5211518566,An9zdNlLXZ5XcJn88sZgtwyrVqmmPqzID93mp6f0ynVY4R-FHb8ceaUNB0cY1DhhNnmQJk5AHjSx8A,ER911,NA1,,PetUmbra,5,8,False
NA1_5211518566,K-D9fPcqkMZem8iR_J2i0OsBfN7w_yrOoWJECidmljre5s6HZVJFaENWVhBxzKqw0cy6rNJQURu2rw,Èxperiment 626,NA1,,PetChibiSett,2,7,False
NA1_5218251880,DqNKF8vPZ9JKsUhKOQ39ijH2p3w660wHowxqnBPnihBgeHyj4Ws7LS9xlHm2lY9claiP_ztgZcDjDQ,PPG Rex,PPG,1,PetScuttleCrab,14,2,True
NA1_5218251880,YYZmpLUGntxc3Bj6CL5swa5-uwQwi502U3iYJI-WQCNncqXGwGgCEBtZqcSGsGJh6lwsQbXah5bWCw,PPG Mirotix,NA1,1,PetChibiMissFortune,2,1,True
NA1_5218251880,BvzBzbzrgJ1ZgeVEj54ulJvZStaDUa2ncZ3TFDFqQFVUrGx2hOqGCSVLU6yptCE_aJC3iivgRUXzDQ,Dopaminie,zzz,2,PetPoro,22,7,False
NA1_5218251880,jbF8uea_A5bBsg0ry8ALY_tHNT7TZD3ZLG_7b-IkDxI0Utn02i3dcVVantVw3d_98njsjkmGLRz39Q,xtheHoodx,duwu,2,PetPoro,1,8,False
NA1_5218251880,P5RTxmMDgDIZgMyaSrNOF-BTvPSjhGTJVlE3drRSwcJKBmTsNxgwHbrIY66S3YxfYIM9BOSecXdjNA,Giisaa,NA1,3,PetDuckbill,1,3,True
